year,rank,rider,time,team,rider_name,rider_country_code,rank_num,decade
1903,1,Maurice Garin (FRA),"94h 33' 14""",La FranÃ§aise,Maurice Garin,FRA,1.0,1900
1903,2,Lucien Pothier (FRA),"+ 2h 59' 21""",La FranÃ§aise,Lucien Pothier,FRA,2.0,1900
1903,3,Fernand Augereau (FRA),"+ 4h 29' 24""",La FranÃ§aise,Fernand Augereau,FRA,3.0,1900
1903,4,Rodolfo Muller[27] (ITA),"+ 4h 39' 30""",La FranÃ§aise,Rodolfo Muller[27],ITA,4.0,1900
1903,5,Jean Fischer (FRA),"+ 4h 58' 44""",La FranÃ§aise,Jean Fischer,FRA,5.0,1900
1903,6,Marcel Kerff (BEL),"+ 5h 52' 24""",,Marcel Kerff,BEL,6.0,1900
1903,7,Julien Lootens (BEL),"+ 8h 31' 08""",Brennabor,Julien Lootens,BEL,7.0,1900
1903,8,Georges Pasquier (FRA),"+ 10h 24' 04""",La FranÃ§aise,Georges Pasquier,FRA,8.0,1900
1903,9,FranÃ§ois Beaugendre (FRA),"+ 10h 52' 14""",,FranÃ§ois Beaugendre,FRA,9.0,1900
1903,10,AloÃ¯s Catteau (BEL),"+ 12h 44' 57""",La FranÃ§aise,AloÃ¯s Catteau,BEL,10.0,1900
1903,11,Jean Dargassies (FRA),"+ 13h 49' 10""",Gladiator,Jean Dargassies,FRA,11.0,1900
1903,12,Ferdinand Payan (FRA),"+ 19h 09' 02""",Champeyrache,Ferdinand Payan,FRA,12.0,1900
1903,13,Julien Girbe (FRA),"+ 23h 16' 52""",JC Cycles,Julien Girbe,FRA,13.0,1900
1903,14,Isidore Lechartier (FRA),"+ 24h 05' 13""",Gladiator,Isidore Lechartier,FRA,14.0,1900
1903,15,Josef Fischer (GER),"+ 25h 14' 26""",Diamant,Josef Fischer,GER,15.0,1900
1903,16,Alexandre Foureaux (FRA),"+ 31h 50' 52""",,Alexandre Foureaux,FRA,16.0,1900
1903,17,RenÃ© Salais (FRA),"+ 32h 34' 43""",,RenÃ© Salais,FRA,17.0,1900
1903,18,Emile Moulin (FRA),"+ 49h 43' 14""",,Emile Moulin,FRA,18.0,1900
1903,19,Georges Borot (FRA),"+ 51h 37' 38""",,Georges Borot,FRA,19.0,1900
1903,20,Pierre Desvages (FRA),"+ 62h 53' 54""",,Pierre Desvages,FRA,20.0,1900
1903,21,ArsÃ¨ne Millocheau (FRA),"+ 64h 57' 08""",,ArsÃ¨ne Millocheau,FRA,21.0,1900
1904,1,Henri Cornet (FRA),"96h 05' 55""",,Henri Cornet,FRA,1.0,1900
1904,2,Jean-Baptiste Dortignacq (FRA),"+ 2h 16' 14""",,Jean-Baptiste Dortignacq,FRA,2.0,1900
1904,3,AloÃ¯s Catteau (BEL),"+ 9h 01' 25""",,AloÃ¯s Catteau,BEL,3.0,1900
1904,4,Jean Dargassies (FRA),"+ 13h 04' 30""",,Jean Dargassies,FRA,4.0,1900
1904,5,Julien Maitron (FRA),"+ 19h 06' 15""",,Julien Maitron,FRA,5.0,1900
1904,6,Auguste Daumain (FRA),"+ 22h 44' 36""",,Auguste Daumain,FRA,6.0,1900
1904,7,Louis Coolsaet (BEL),"+ 23h 44' 20""",,Louis Coolsaet,BEL,7.0,1900
1904,8,Achille Colas (FRA),"+ 25h 09' 50""",,Achille Colas,FRA,8.0,1900
1904,9,RenÃ© Saget (FRA),"+ 25h 55' 16""",,RenÃ© Saget,FRA,9.0,1900
1904,10,Gustave Drioul (BEL),"+ 30h 54' 49""",,Gustave Drioul,BEL,10.0,1900
1904,11,Henri Paret (FRA),"+ 32h 18' 39""",,Henri Paret,FRA,11.0,1900
1904,12,Auguste Gauthier (FRA),"+ 33h 14' 02""",,Auguste Gauthier,FRA,12.0,1900
1904,13,Auguste Rist (FRA),"+ 35h 01' 20""",,Auguste Rist,FRA,13.0,1900
1904,14,Damelincourt (FRA),"+ 48h 39' 03""",,Damelincourt,FRA,14.0,1900
1904,15,Antoine Deflotriere (FRA),"+ 101h 28' 52""",,Antoine Deflotriere,FRA,15.0,1900
