year,date,stage,course,distance,type,winner,distance_km,winner_name,winner_country_code,stage_type_group,decade,stages_count,starters,finishers,completion_rate,completion_pct
1903,1903-07-01,1,Paris to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA),467.0,Maurice Garin,FRA,Flat,1900,6,60,21,0.35,35.0
1903,1903-07-05,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA),374.0,Hippolyte Aucouturier,FRA,Mountain,1900,6,60,21,0.35,35.0
1903,1903-07-08,3,Marseille to Toulouse,423 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA),423.0,Hippolyte Aucouturier,FRA,Flat,1900,6,60,21,0.35,35.0
1903,1903-07-12,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Charles Laeser (SUI),268.0,Charles Laeser,SUI,Flat,1900,6,60,21,0.35,35.0
1903,1903-07-13,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Maurice Garin (FRA),425.0,Maurice Garin,FRA,Flat,1900,6,60,21,0.35,35.0
1903,1903-07-18,6,Nantes to Paris,471 km (293 mi),Plain stage,Maurice Garin (FRA),471.0,Maurice Garin,FRA,Flat,1900,6,60,21,0.35,35.0
1904,1904-07-02,1,Montgeron to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA),467.0,Maurice Garin,FRA,Flat,1900,6,88,15,0.17045454545454544,17.045454545454543
1904,1904-07-09,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA),374.0,Hippolyte Aucouturier,FRA,Mountain,1900,6,88,15,0.17045454545454544,17.045454545454543
1904,1904-07-13,3,Marseille to Toulouse,424 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA),424.0,Hippolyte Aucouturier,FRA,Flat,1900,6,88,15,0.17045454545454544,17.045454545454543
1904,1904-07-17,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Lucien Pothier (FRA),268.0,Lucien Pothier,FRA,Flat,1900,6,88,15,0.17045454545454544,17.045454545454543
1904,1904-07-20,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Hippolyte Aucouturier (FRA),425.0,Hippolyte Aucouturier,FRA,Flat,1900,6,88,15,0.17045454545454544,17.045454545454543
1904,1904-07-23,6,Nantes to Paris,471 km (293 mi),Plain stage,Hippolyte Aucouturier (FRA),471.0,Hippolyte Aucouturier,FRA,Flat,1900,6,88,15,0.17045454545454544,17.045454545454543
1905,1905-07-09,1,Paris to Nancy,340 km (210 mi),Plain stage,Louis Trousselier (FRA),340.0,Louis Trousselier,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-11,2,Nancy to Besan̤on,299 km (186 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA),299.0,Hippolyte Aucouturier,FRA,Mountain,1900,11,60,24,0.4,40.0
1905,1905-07-14,3,Besan̤on to Grenoble,327 km (203 mi),Plain stage,Louis Trousselier (FRA),327.0,Louis Trousselier,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-16,4,Grenoble to Toulon,348 km (216 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA),348.0,Hippolyte Aucouturier,FRA,Mountain,1900,11,60,24,0.4,40.0
1905,1905-07-18,5,Toulon to N̨mes,192 km (119 mi),Plain stage,Louis Trousselier (FRA),192.0,Louis Trousselier,FRA,Flat,1900,11,60,24,0.4,40.0
