year,dates,stages,distance,starters,finishers,distance_km,stages_count,decade,completion_rate,completion_pct,country,rider,team,stages_won,stages_led,avg_speed_kmh,age_when_won
1903,1–19 July 1903,6,"2,428 km (1,509 mi)",60,21,2428.0,6,1900,0.35,35.0,France,Maurice Garin,La Française,3.0,6.0,25.7,32.0
1904,2–24 July 1904,6,"2,428 km (1,509 mi)",88,15,2428.0,6,1900,0.17045454545454544,17.045454545454543,France,Henri Cornet,Conte,1.0,3.0,25.3,20.0
1905,9–30 July 1905,11,"2,994 km (1,860 mi)",60,24,2994.0,11,1900,0.4,40.0,France,Louis Trousselier,Peugeot–Wolber,5.0,10.0,,24.0
1906,4–29 July 1906,13,"4,637 km (2,881 mi)",82,14,4637.0,13,1900,0.17073170731707318,17.073170731707318,France,René Pottier,Peugeot–Wolber,5.0,12.0,,27.0
1907,8 July – 4 August 1907,14,"4,488 km (2,789 mi)",93,33,4488.0,14,1900,0.3548387096774194,35.483870967741936,France,Lucien Petit-Breton,Peugeot–Wolber,2.0,5.0,,25.0
1908,13 July – 9 August 1908,14,"4,497 km (2,794 mi)",112,36,4497.0,14,1900,0.32142857142857145,32.142857142857146,France,Lucien Petit-Breton,Peugeot–Wolber,5.0,13.0,,26.0
1909,5 July – 1 August 1909,14,"4,498 km (2,795 mi)",150,55,4498.0,14,1900,0.36666666666666664,36.666666666666664,Luxembourg,François Faber,Alcyon–Dunlop,6.0,13.0,,22.0
1910,3–31 July 1910,15,"4,734 km (2,942 mi)",110,41,4734.0,15,1910,0.37272727272727274,37.27272727272727,France,Octave Lapize,Alcyon–Dunlop,4.0,3.0,,23.0
1911,2–30 July 1911,15,"5,343 km (3,320 mi)",84,28,5343.0,15,1910,0.3333333333333333,33.33333333333333,France,Gustave Garrigou,Alcyon–Dunlop,2.0,13.0,,27.0
1912,30 June – 28 July 1912,15,"5,289 km (3,286 mi)",131,41,5289.0,15,1910,0.31297709923664124,31.297709923664126,Belgium,Odile Defraye,Alcyon–Dunlop,3.0,13.0,,24.0
1913,29 June – 27 July 1913,15,"5,287 km (3,285 mi)",140,25,5287.0,15,1910,0.17857142857142858,17.857142857142858,Belgium,Philippe Thys,Peugeot–Wolber,1.0,8.0,26.7,24.0
1914,28 June – 26 July 1914,15,"5,380 km (3,340 mi)",145,54,5380.0,15,1910,0.3724137931034483,37.24137931034483,Belgium,Philippe Thys,Peugeot–Wolber,1.0,15.0,26.8,25.0
1919,29 June – 27 July 1919,15,"5,560 km (3,450 mi)",69,10,5560.0,15,1910,0.14492753623188406,14.492753623188406,Belgium,Firmin Lambot,La Sportive,1.0,2.0,24.1,33.0
1920,27 June – 27 July 1920,15,"5,503 km (3,419 mi)",113,22,5503.0,15,1920,0.19469026548672566,19.469026548672566,Belgium,Philippe Thys,La Sportive,4.0,14.0,24.1,31.0
1921,26 June – 24 July 1921,15,"5,485 km (3,408 mi)",123,38,5485.0,15,1920,0.3089430894308943,30.89430894308943,Belgium,Léon Scieur,La Sportive,2.0,14.0,24.7,33.0
1922,25 June – 23 July 1922,15,"5,375 km (3,340 mi)",121,38,5375.0,15,1920,0.3140495867768595,31.40495867768595,Belgium,Firmin Lambot,Peugeot–Wolber,0.0,3.0,24.2,36.0
1923,24 June – 22 July 1923,15,"5,386 km (3,347 mi)",139,48,5386.0,15,1920,0.34532374100719426,34.53237410071942,France,Henri Pélissier,Automoto–Hutchinson,3.0,6.0,24.2,34.0
1924,22 June – 20 July 1924,15,"5,425 km (3,371 mi)",157,60,5425.0,15,1920,0.3821656050955414,38.21656050955414,Italy,Ottavio Bottecchia,Automoto,4.0,15.0,24.0,30.0
1925,21 June – 19 July 1925,18,"5,440 km (3,380 mi)",130,49,5440.0,18,1920,0.3769230769230769,37.69230769230769,Italy,Ottavio Bottecchia,Automoto–Hutchinson,4.0,13.0,24.8,31.0
1926,20 June – 18 July 1926,17,"5,745 km (3,570 mi)",126,41,5745.0,17,1920,0.3253968253968254,32.53968253968254,Belgium,Lucien Buysse,Automoto–Hutchinson,2.0,8.0,24.1,34.0
1927,19 June – 17 July 1927,24,"5,398 km (3,354 mi)",142,39,5398.0,24,1920,0.2746478873239437,27.464788732394368,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,3.0,14.0,27.2,28.0
1928,17 June – 15 July 1928,22,"5,476 km (3,403 mi)",162,41,5476.0,22,1920,0.25308641975308643,25.308641975308642,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,5.0,22.0,28.4,29.0
1929,30 June – 28 July 1929,22,"5,286 km (3,285 mi)",155,60,5286.0,22,1920,0.3870967741935484,38.70967741935484,Belgium,Maurice De Waele,Alcyon–Dunlop,1.0,16.0,28.3,33.0
1930,2–27 July 1930,21,"4,822 km (2,996 mi)",100,59,4822.0,21,1930,0.59,59.0,France,André Leducq,Alcyon–Dunlop,2.0,13.0,28.0,26.0
1931,30 June – 26 July 1931,24,"5,091 km (3,163 mi)",81,35,5091.0,24,1930,0.43209876543209874,43.20987654320987,France,Antonin Magne,France,1.0,16.0,28.7,27.0
1932,6–31 July 1932,21,"4,479 km (2,783 mi)",80,57,4479.0,21,1930,0.7125,71.25,France,André Leducq,France,6.0,19.0,29.0,28.0
1933,27 June – 23 July 1933,23,"4,395 km (2,731 mi)",80,40,4395.0,23,1930,0.5,50.0,France,Georges Speicher,France,3.0,12.0,29.7,26.0
1934,3–29 July 1934,"23, including one split stage","4,470 km (2,780 mi)",60,39,4470.0,23,1930,0.65,65.0,France,Antonin Magne,France,3.0,22.0,30.4,30.0
1935,4–28 July 1935,"21, including six split stages","4,338 km (2,696 mi)",93,46,4338.0,21,1930,0.4946236559139785,49.46236559139785,Belgium,Romain Maes,Belgium,3.0,21.0,30.7,23.0
1936,7 July – 2 August 1936,"21, including five split stages","4,442 km (2,760 mi)",90,43,4442.0,21,1930,0.4777777777777778,47.77777777777778,Belgium,Sylvère Maes,Belgium,4.0,14.0,31.1,27.0
1937,30 June – 25 July 1937,"20, including eight split stages","4,415 km (2,743 mi)",98,46,4415.0,20,1930,0.46938775510204084,46.93877551020408,France,Roger Lapébie,France,3.0,4.0,31.8,26.0
1938,5–31 July 1938,"21, including five split stages","4,694 km (2,917 mi)",96,55,4694.0,21,1930,0.5729166666666666,57.291666666666664,Italy,Gino Bartali,Italy,2.0,8.0,31.6,24.0
1939,10–30 July 1939,"18, including eight split stages","4,224 km (2,625 mi)",79,49,4224.0,18,1930,0.620253164556962,62.0253164556962,Belgium,Sylvère Maes,Belgium,2.0,8.0,32.0,30.0
1947,25 June – 20 July 1947,21,"4,642 km (2,884 mi)",99,53,4642.0,21,1940,0.5353535353535354,53.535353535353536,France,Jean Robic,France,3.0,1.0,31.3,26.0
1948,30 June – 25 July 1948,21,"4,922 km (3,058 mi)",120,44,4922.0,21,1940,0.36666666666666664,36.666666666666664,Italy,Gino Bartali,Italy,7.0,9.0,33.4,34.0
1949,30 June – 24 July 1949,21,"4,808 km (2,988 mi)",120,55,4808.0,21,1940,0.4583333333333333,45.83333333333333,Italy,Fausto Coppi,Italy,3.0,5.0,32.1,30.0
1950,13 July – 7 August 1950,22,"4,773 km (2,966 mi)",116,51,4773.0,22,1950,0.4396551724137931,43.96551724137931,Switzerland,Ferdinand Kübler,Switzerland,3.0,11.0,32.8,31.0
1951,4–29 July 1951,24,"4,690 km (2,910 mi)",123,66,4690.0,24,1950,0.5365853658536586,53.65853658536586,Switzerland,Hugo Koblet,Switzerland,5.0,11.0,32.9,26.0
1952,25 June – 19 July 1952,23,"4,898 km (3,043 mi)",122,78,4898.0,23,1950,0.639344262295082,63.934426229508205,Italy,Fausto Coppi,Italy,5.0,14.0,32.2,33.0
1953,3–26 July 1953,22,"4,476 km (2,781 mi)",119,76,4476.0,22,1950,0.6386554621848739,63.86554621848739,France,Louison Bobet,France,2.0,5.0,34.6,28.0
1954,8 July – 1 August 1954,23,"4,656 km (2,893 mi)",110,69,4656.0,23,1950,0.6272727272727273,62.727272727272734,France,Louison Bobet,France,3.0,14.0,33.2,29.0
1955,7–30 July 1955,22,"4,495 km (2,793 mi)",130,69,4495.0,22,1950,0.5307692307692308,53.07692307692308,France,Louison Bobet,France,2.0,6.0,34.4,30.0
1956,5–28 July 1956,22,"4,498 km (2,795 mi)",120,88,4498.0,22,1950,0.7333333333333333,73.33333333333333,France,Roger Walkowiak,France,0.0,8.0,36.3,29.0
1957,27 June – 20 July 1957,22,"4,669 km (2,901 mi)",120,56,4669.0,22,1950,0.4666666666666667,46.666666666666664,France,Jacques Anquetil,France,4.0,15.0,34.4,23.0
1958,26 June – 19 July 1958,24,"4,319 km (2,684 mi)",120,78,4319.0,24,1950,0.65,65.0,Luxembourg,Charly Gaul,Luxembourg,4.0,2.0,36.9,26.0
1959,25 June – 18 July 1959,22,"4,358 km (2,708 mi)",120,65,4358.0,22,1950,0.5416666666666666,54.166666666666664,Spain,Federico Bahamontes,Spain,1.0,6.0,35.2,31.0
1960,26 June – 17 July 1960,"21, including one split stages","4,173 km (2,593 mi)",128,81,4173.0,21,1960,0.6328125,63.28125,Italy,Gastone Nencini,Italy,0.0,14.0,37.2,30.0
1961,25 June – 16 July 1961,"21, including one split stage","4,397 km (2,732 mi)",132,72,4397.0,21,1960,0.5454545454545454,54.54545454545454,France,Jacques Anquetil,France,2.0,21.0,36.0,27.0
1962,24 June – 15 July 1962,"22, including two split stages","4,274 km (2,656 mi)",149,94,4274.0,22,1960,0.6308724832214765,63.08724832214765,France,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,2.0,3.0,37.3,28.0
1963,23 June – 14 July 1963,"21, including two split stages","4,138 km (2,571 mi)",130,76,4138.0,21,1960,0.5846153846153846,58.46153846153847,France,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4.0,5.0,36.5,29.0
1964,22 June – 14 July 1964,"22, including three split stages","4,504 km (2,799 mi)",132,81,4504.0,22,1960,0.6136363636363636,61.36363636363637,France,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4.0,6.0,35.4,30.0
1965,22 June – 14 July 1965,"22, including two split stages","4,188 km (2,602 mi)",130,96,4188.0,22,1960,0.7384615384615385,73.84615384615385,Italy,Felice Gimondi,Salvarani,3.0,18.0,35.9,23.0
1966,21 June – 14 July 1966,"22, including three split stages","4,329 km (2,690 mi)",130,82,4329.0,22,1960,0.6307692307692307,63.07692307692307,France,Lucien Aimar,Ford France–Hutchinson,0.0,6.0,36.8,25.0
1967,29 June – 23 July 1967,"22 + Prologue, including two split stages","4,779 km (2,970 mi)",130,88,4779.0,22,1960,0.676923076923077,67.6923076923077,France,Roger Pingeon,Peugeot–BP–Michelin,1.0,17.0,34.9,27.0
1968,27 June – 21 July 1968,"22, including four split stages","4,492 km (2,791 mi)",110,63,4492.0,22,1960,0.5727272727272728,57.27272727272727,Netherlands,Jan Janssen,Pelforth–Sauvage–Lejeune,2.0,1.0,33.6,28.0
1969,28 June – 20 July 1969,"22 + Prologue, including three split stages","4,117 km (2,558 mi)",130,86,4117.0,22,1960,0.6615384615384615,66.15384615384615,Belgium,Eddy Merckx,Faema,6.0,18.0,35.4,24.0
1970,27 June – 19 July 1970,"23 + Prologue, including five split stages","4,254 km (2,643 mi)",150,100,4254.0,23,1970,0.6666666666666666,66.66666666666666,Belgium,Eddy Merckx,Faemino–Faema,8.0,20.0,35.6,25.0
1971,26 June – 18 July 1971,"20 + Prologue, including three split stages","3,608 km (2,242 mi)",130,94,3608.0,20,1970,0.7230769230769231,72.3076923076923,Belgium,Eddy Merckx,Molteni,4.0,17.0,37.3,26.0
1972,1–22 July 1972,"20 + Prologue, including four split stages","3,846 km (2,390 mi)",132,88,3846.0,20,1970,0.6666666666666666,66.66666666666666,Belgium,Eddy Merckx,Molteni,6.0,15.0,35.5,27.0
1973,30 June – 22 July 1973,"20 + Prologue, including six split stages","4,090 km (2,540 mi)",132,87,4090.0,20,1970,0.6590909090909091,65.9090909090909,Spain,Luis Ocaña,Bic,6.0,14.0,33.4,28.0
1974,27 June – 21 July 1974,"22 + Prologue, including four split stages","4,098 km (2,546 mi)",130,105,4098.0,22,1970,0.8076923076923077,80.76923076923077,Belgium,Eddy Merckx,Molteni,8.0,18.0,35.2,29.0
