year,country,rider,team,time,margin,stages_won,stages_led,avg_speed,height,weight,born,died,decade,height_m,weight_kg,avg_speed_kmh,age_when_won
1903,France,Maurice Garin,La Française,"94h 33' 14""","+ 2h 59' 21""",3,6.0,25.7km/h,1.62m,60kg,1871-03-03,1957-02-19,1900,1.62,60.0,25.7,32
1904,France,Henri Cornet,Conte,"96h 05' 55""","+ 2h 16' 14""",1,3.0,25.3km/h,,,1884-08-04,1941-03-18,1900,,,25.3,20
1905,France,Louis Trousselier,Peugeot–Wolber,,,5,10.0,,,,1881-06-29,1939-04-24,1900,,,,24
1906,France,René Pottier,Peugeot–Wolber,,,5,12.0,,,,1879-06-05,1907-01-25,1900,,,,27
1907,France,Lucien Petit-Breton,Peugeot–Wolber,,,2,5.0,,,,1882-10-18,1917-12-20,1900,,,,25
1908,France,Lucien Petit-Breton,Peugeot–Wolber,,,5,13.0,,,,1882-10-18,1917-12-20,1900,,,,26
1909,Luxembourg,François Faber,Alcyon–Dunlop,,,6,13.0,,1.78m,88kg,1887-01-26,1915-05-09,1900,1.78,88.0,,22
1910,France,Octave Lapize,Alcyon–Dunlop,,,4,3.0,,,,1887-10-24,1917-07-14,1910,,,,23
1911,France,Gustave Garrigou,Alcyon–Dunlop,,,2,13.0,,,,1884-09-24,1963-01-28,1910,,,,27
1912,Belgium,Odile Defraye,Alcyon–Dunlop,,,3,13.0,,,,1888-07-14,1965-08-21,1910,,,,24
1913,Belgium,Philippe Thys,Peugeot–Wolber,"197h 54' 00""","+ 8' 37""",1,8.0,26.7km/h,,,1889-10-08,1971-01-16,1910,,,26.7,24
1914,Belgium,Philippe Thys,Peugeot–Wolber,"200h 28' 48""","+ 1' 50""",1,15.0,26.8km/h,,,1889-10-08,1971-01-16,1910,,,26.8,25
1919,Belgium,Firmin Lambot,La Sportive,"231h 07' 15""","+ 1h 42' 54""",1,2.0,24.1km/h,,,1886-03-14,1964-01-19,1910,,,24.1,33
1920,Belgium,Philippe Thys,La Sportive,"228h 36' 13""","+ 57' 21""",4,14.0,24.1km/h,,,1889-10-08,1971-01-16,1920,,,24.1,31
1921,Belgium,Léon Scieur,La Sportive,"221h 50' 26""","+ 18' 36""",2,14.0,24.7km/h,,,1888-03-18,1969-10-07,1920,,,24.7,33
1922,Belgium,Firmin Lambot,Peugeot–Wolber,"222h 08' 06""","+ 41' 15""",0,3.0,24.2km/h,,,1886-03-14,1964-01-19,1920,,,24.2,36
1923,France,Henri Pélissier,Automoto–Hutchinson,"222h 15' 30""","+ 30 '41""",3,6.0,24.2km/h,,,1889-01-22,1935-05-01,1920,,,24.2,34
1924,Italy,Ottavio Bottecchia,Automoto,"226h 18' 21""","+ 35' 36""",4,15.0,24.0km/h,,,1894-08-01,1927-06-15,1920,,,24.0,30
1925,Italy,Ottavio Bottecchia,Automoto–Hutchinson,"219h 10' 18""","+ 54' 20""",4,13.0,24.8km/h,,,1894-08-01,1927-06-15,1920,,,24.8,31
1926,Belgium,Lucien Buysse,Automoto–Hutchinson,"238h 44' 25""","+ 1h 22' 25""",2,8.0,24.1km/h,,,1892-09-11,1980-01-03,1920,,,24.1,34
1927,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"198h 16' 42""","+ 1h 48' 41""",3,14.0,27.2km/h,,,1899-11-04,1985-11-08,1920,,,27.2,28
1928,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"192h 48' 58""","+ 50' 07""",5,22.0,28.4km/h,,,1899-11-04,1985-11-08,1920,,,28.4,29
1929,Belgium,Maurice De Waele,Alcyon–Dunlop,"186h 39' 15""","+ 44' 23""",1,16.0,28.3km/h,,,1896-12-27,1952-02-14,1920,,,28.3,33
